"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Apr 10 12:43:19 UTC 2025","Thu Apr 10 12:45:29 UTC 2025","129714","","Tests","Estimate","","","Login with valid user and do a Estimate and Proposal flow",""
"failed","Thu Apr 10 12:43:19 UTC 2025","Thu Apr 10 12:48:02 UTC 2025","282398","","Tests","Onboard","","","Login with valid user and complete the onboarding",""
"failed","Thu Apr 10 12:45:29 UTC 2025","Thu Apr 10 12:50:01 UTC 2025","272178","","Tests","Estimate","","","Login with valid user and create a new client and do a estimate for this client",""
